Binomial,bs_g,log10_bs,lognat_bs,,,
Accipiter_ventralis,204.50,2.310693312,5.320567975,,,
Accipiter_virgatus,141.12,2.149588568,4.949610592,,,
Accipiter_virgatus_affinis,112.00,2.049218023,4.718498871,,,
Accipiter_virgatus_confusus,119.50,2.077367905,4.783316371,,,
Acentrogobius_caninus,18.90,1.276461804,2.939161922,,,
Acentrogobius_moloanus,2.72,0.434568904,1.00063188,,,
Acentrogobius_nebulosus,34.80,1.541579244,3.549617387,,,
Acentrogobius_viridipunctatus,22.16,1.345569756,3.098288862,,,
Acerodon_celebensis,387.65,2.588439788,5.960102871,,,
Acerodon_humilis,389.11,2.590072392,5.96386208,,,
Acerodon_jubatus,1079.66,3.033287012,6.984401456,,,
Acerodon_leucotis,388.87,2.58980444,5.963245098,,,
Acerodon_mackloti,468.92,2.671098756,6.150432178,,,
Aceros_cassidix,2360.00,3.372912003,7.766416898,,,
Aceros_comatus,1470.00,3.167317335,7.29301768,,,
Aceros_corrugatus,1590.00,3.201397124,7.371489295,,,
Aceros_everetti,1748.80,3.242740145,7.466685117,,,
Aceros_leucocephalus,1102.33,3.042311627,7.0051814,,,
Aceros_narcondami,732.39,2.864742406,6.596313159,,,
Aceros_nipalensis,2423.33,3.384412559,7.792897906,,,
Aceros_plicatus,1901.25,3.279039227,7.550266844,,,
Aceros_subruficollis,2156.00,3.333648757,7.676009932,,,
Aceros_undulatus,2849.85,3.454822002,7.95502164,,,
Aceros_waldeni,1414.90,3.150725747,7.254814136,,,
Acestrorhynchus__falcatus,255.00,2.40654018,5.541263545,,,
Acestrorhynchus__microlepis,230.00,2.361727836,5.438079309,,,
Acestrorhynchus_falcatus,255.00,2.40654018,5.541263545,,,
Acestrorhynchus_microlepis,230.00,2.361727836,5.438079309,,,
Acestrura_mulsant,4.14,0.617000341,1.420695788,,,
Achaetops_pycnopygius,27.97,1.446692466,3.331132507,,,
Achalinus_formosanus,34.42,1.536810866,3.538637791,,,
Achalinus_rufescens,9.13,0.960470778,2.211565695,,,
Achalinus_spinalis,82.05,1.914078585,4.407328818,,,
Achalinus_werneri,63.09,1.799960527,4.144562278,,,
Achirus_achirus,1000.00,3,6.907755279,,,
Acinixys_planicauda,311.93,2.494057145,5.742778804,,,
Acinonyx_jubatus,41087.68,4.61371162,10.6234636,,,
Acipenser_baerii,210000.00,5.322219295,12.25486281,,,
Acipenser_brevirostrum,23000.00,4.361727836,10.04324949,,,
Acipenser_fulvescens,125000.00,5.096910013,11.73606902,,,
Acipenser_gueldenstaedtii,115000.00,5.06069784,11.65268741,,,
Acipenser_medirostris,159000.00,5.201397124,11.97665948,,,
Acipenser_naccarii,25000.00,4.397940009,10.1266311,,,
Acipenser_nudiventris,80000.00,4.903089987,11.28978191,,,
Acipenser_oxyrinchus,368000.00,5.565847819,12.81583822,,,
Acipenser_ruthenus,16000.00,4.204119983,9.680344001,,,
Acipenser_schrenckii,190000.00,5.278753601,12.15477935,,,
Acipenser_sinensis,600000.00,5.77815125,13.30468493,,,
Acipenser_transmontanus,409760.00,5.612529561,12.9233269,,,
Acomys_airensis,37.01,1.568319085,3.611188146,,,
Acomys_cahirinus,39.03,1.591398551,3.664330581,,,
Acomys_chudeaui,37.01,1.568319085,3.611188146,,,
Acomys_cilicicus,28.61,1.456517858,3.353756307,,,
Acomys_cineraceus,31.14,1.493318608,3.438493166,,,
Acomys_dimidiatus,37.01,1.568319085,3.611188146,,,
Acomys_ignitus,34.60,1.539076099,3.543853682,,,
Acomys_johannis,36.21,1.558828525,3.589335324,,,
Acomys_kempi,25.07,1.399154334,3.221671912,,,
Acomys_louisae,21.21,1.326540669,3.054472769,,,
Acomys_minous,60.11,1.778946728,4.096176217,,,
Acomys_mullah,36.97,1.567849451,3.610106773,,,
Acomys_nesiotes,36.94,1.567496891,3.609294975,,,
Acomys_percivali,21.98,1.342027688,3.090132949,,,
Acomys_russatus,46.38,1.666330744,3.836868332,,,
Acomys_seurati,37.01,1.568319085,3.611188146,,,
Acomys_spinosissimus,26.54,1.423900919,3.278653029,,,
Acomys_subspinosus,22.85,1.358886204,3.128951117,,,
Acomys_wilsoni,16.30,1.212187604,2.791165108,,,
Aconaemys_fuscus,130.90,2.116939647,4.874433673,,,
Aconaemys_porteri,117.24,2.06907581,4.764223116,,,
Aconaemys_sagei,96.35,1.983851719,4.567987395,,,
Acontias_brevipes,203.93,2.309481119,5.317776798,,,
Acontias_gariepensis,4.02,0.604226053,1.391281903,,,
Acontias_gracilicauda,485.48,2.686171343,6.185138092,,,
Acontias_kgalagadi,4.80,0.681241237,1.568615918,,,
Acontias_meleagris,294.83,2.469571672,5.686398919,,,
Acontias_orientalis,7.30,0.86332286,1.987874348,,,
Acontias_percivali,467.54,2.669818773,6.147484907,,,
Acontias_plumbeus,4050.03,3.60745824,8.306479567,,,
Acontias_poecilus,1691.27,3.228212945,7.433235005,,,
Acontophiops_lineatus,160.96,2.206717963,5.081155887,,,
Acrantophis_dumerili,10591.91,4.024974282,9.267845781,,,
Acrantophis_madagascariensis,25251.62,4.402289245,10.13664559,,,
Acratosaura_mentalis,2.28,0.357934847,0.824175443,,,
Acreichthys_tomentosus,122.39,2.087751644,4.807225814,,,
Acridotheres_albocinctus,93.56,1.971090213,4.538602942,,,
Acridotheres_cinereus,89.28,1.950754182,4.491777499,,,
Acridotheres_cristatellus,120.55,2.081167215,4.792064605,,,
Acridotheres_fuscus,88.60,1.947433722,4.484131858,,,
